location,city,country,utc,parameter,value,unit,latitude,longitude
Albrecht ,Berlin,DE,30/12/2019,pm10,23,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,29/12/2019,pm10,17,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,28/12/2019,pm10,8,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,27/12/2019,pm10,16,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,26/12/2019,pm10,9,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,25/12/2019,pm10,15,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,24/12/2019,pm10,20,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,23/12/2019,pm10,20,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,22/12/2019,pm10,24,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,21/12/2019,pm10,39,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,20/12/2019,pm10,37,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,19/12/2019,pm10,24,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,18/12/2019,pm10,20,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,17/12/2019,pm10,22,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,16/12/2019,pm10,28,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,15/12/2019,pm10,10,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,13/12/2019,pm10,32,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,12/12/2019,pm10,26,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,11/12/2019,pm10,23,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,10/12/2019,pm10,15,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,09/12/2019,pm10,15,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,08/12/2019,pm10,21,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,07/12/2019,pm10,17,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,06/12/2019,pm10,39,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,05/12/2019,pm10,30,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,04/12/2019,pm10,17,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,03/12/2019,pm10,11,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,02/12/2019,pm10,28,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,01/12/2019,pm10,21,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,30/11/2019,pm10,11,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,29/11/2019,pm10,9,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,28/11/2019,pm10,16,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,27/11/2019,pm10,19,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,26/11/2019,pm10,62,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,25/11/2019,pm10,48,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,24/11/2019,pm10,46,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,23/11/2019,pm10,38,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,22/11/2019,pm10,39,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,21/11/2019,pm10,58,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,20/11/2019,pm10,19,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,19/11/2019,pm10,11,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,18/11/2019,pm10,34,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,17/11/2019,pm10,30,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,16/11/2019,pm10,40,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,15/11/2019,pm10,32,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,14/11/2019,pm10,24,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,13/11/2019,pm10,27,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,12/11/2019,pm10,27,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,10/11/2019,pm10,26,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,09/11/2019,pm10,40,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,08/11/2019,pm10,26,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,07/11/2019,pm10,15,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,06/11/2019,pm10,15,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,04/11/2019,pm10,23,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,03/11/2019,pm10,14,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,31/10/2019,pm10,31,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,29/10/2019,pm10,13,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,28/10/2019,pm10,13,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,27/10/2019,pm10,21,µg/m^3,52.514.072,13.469.931
Albrecht ,Berlin,DE,26/10/2019,pm10,16,µg/m^3,52.514.072,13.469.931
