location,city,country,utc,value,unit,latitude,longitude
VNTelha-Maia,Porto,PT,31/12/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,30/12/2019,34,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,29/12/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,27/12/2019,11,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,26/12/2019,27,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,25/12/2019,14,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,24/12/2019,8,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,23/12/2019,27,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,22/12/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,21/12/2019,32,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,20/12/2019,19,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,19/12/2019,15,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,18/12/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,17/12/2019,34,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,16/12/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,15/12/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,13/12/2019,28,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,12/12/2019,14,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,11/12/2019,16,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,10/12/2019,44,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,09/12/2019,19,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,08/12/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,07/12/2019,19,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,06/12/2019,28,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,05/12/2019,29,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,04/12/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,03/12/2019,11,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,02/12/2019,16,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,01/12/2019,3,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,30/11/2019,14,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,29/11/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,28/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,27/11/2019,11,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,26/11/2019,13,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,25/11/2019,18,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,24/11/2019,12,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,23/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,22/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,21/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,20/11/2019,17,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,19/11/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,18/11/2019,14,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,17/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,16/11/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,15/11/2019,16,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,14/11/2019,23,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,13/11/2019,23,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,12/11/2019,44,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,11/11/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,10/11/2019,12,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,09/11/2019,9,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,08/11/2019,27,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,07/11/2019,18,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,06/11/2019,22,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,05/11/2019,17,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,04/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,03/11/2019,47,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,02/11/2019,8,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,01/11/2019,21,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,31/10/2019,26,µg/m^3,41.252.222,-8.660.556
VNTelha-Maia,Porto,PT,30/10/2019,13,µg/m^3,41.252.222,-8.660.556
